Crisis Name,Crisis Num.,Actors,Trig Date,Term Date,Summary Link,Summary URL
TRUMAN DOCTRINE,114,GRC; TUR; USA,2/21/47,5/22/47,TRUMAN DOCTRINE,https://drive.google.com/open?id=17aSeWCaSvAJQRbrhjLHXUL8OK1Mxz4vr
MARSHALL PLAN,115,RUS; CZE,7/3/47,7/11/47,MARSHALL PLAN,https://drive.google.com/open?id=1FCxmvYxiBHEfjzdgI8kc92h02fQonAQQ
INDONESIA INDEP. II,116,INS; NTH,7/21/47,1/17/48,INDONESIA INDEP. II,https://drive.google.com/open?id=1o1fpjmXRyVl2ht3G-FBGvQkrtqvueuPj
CUBA/DOMINICAN REP.,117,DOM,7/26/47,9/28/47,CUBA/DOMINICAN REP.,https://drive.google.com/open?id=1MzhW4LvnV4kUDmyHz5XpK2y60qEFn1Yq
JUNAGADH,118,IND; PAK,8/17/47,2/24/48,JUNAGADH,https://drive.google.com/open?id=1qZjPEsGR6xkrAzQvHFic2x_FTOCg6Qcp
KASHMIR I,119,IND; PAK,10/24/47,1/1/49,KASHMIR I,https://drive.google.com/open?id=1CMKJMJS_RjQ4UZJYT6U3OTT36Z3GAfVz
PAL. PRT./ISRAEL IND.,120,IRQ; EGY; LEB; JOR; SYR; ISR,11/29/47,7/20/49,PAL. PRT./ISRAEL IND.,https://drive.google.com/open?id=1WijsUq89gbx1cLqsuJBk_TudhJqLnNdc
COMMUNISM IN CZECH.,121,RUS; CZE,2/13/48,2/25/48,COMMUNISM IN CZECH.,https://drive.google.com/open?id=1ImftTX-AuIfs_7x9MXokDBvKJE0Jg_wX
SOV. NOTE/FINLAND I,122,FIN,2/22/48,4/6/48,SOV. NOTE/FINLAND I,https://drive.google.com/open?id=1ImnIlUO6NRxXS2qWWXDs3lWcvV0nElO-
BERLIN BLOCKADE,123,RUS; FRN; UKG; USA,6/24/48,5/12/49,BERLIN BLOCKADE,https://drive.google.com/file/d/1RUSWB15iL5pOZpcutlQ6wSeqjoY74_XS/view?usp=drive_link
HYDERABAD,124,IND,8/21/48,9/18/48,HYDERABAD,https://drive.google.com/open?id=1gpoqtY4gOD0lDutvcEAW1qGWNUtMlJ3M
CHINA CIVIL WAR,125,USA; CHN,9/23/48,12/8/49,CHINA CIVIL WAR,https://drive.google.com/open?id=1Oe8az_Fqk5nPjM5Z0OBkl47SHZ8vdJ40
COSTA RICA/NIC. I,126,COS,12/11/48,2/21/49,COSTA RICA/NIC. I,https://drive.google.com/open?id=12OaTs2daDH0cwq6L7QaVN0NqXqQSCVcb
INDONESIA INDEP. III,127,INS; NTH,12/19/48,12/27/49,INDONESIA INDEP. III,https://drive.google.com/open?id=1mJVkFM83YVlkJ5vwpDMUWGVkCZW1r9xl
SINAI INCURSION,128,EGY; UKG; ISR,12/25/48,1/10/49,SINAI INCURSION,https://drive.google.com/open?id=1vhpbwc3wV4lxwusoQV7zSv7gyf7l33WH
PUSHTUNISTAN I,129,AFG; PAK,Mar-49,10/5/50,PUSHTUNISTAN I,https://drive.google.com/open?id=1FkRbh9qGRBE-2vzWPXcnkfkKoTDpDFtK
LUPERON,130,DOM,6/19/49,6/21/49,LUPERON,https://drive.google.com/open?id=1Dv5-Vr_pnlYSRTRdxOmHhL-xWelqlLw6
SOV. BLOC-YUGOSLAVIA,131,YUG,8/19/49,Nov-51,SOV. BLOC-YUGOSLAVIA,https://drive.google.com/open?id=1O7kgPWw2vIujksDXf5jLDu1qKM0GigcO
KOREAN WAR I,132,ROK; USA; CHN; TAW,6/25/50,9/30/50,KOREAN WAR I,https://drive.google.com/open?id=1e4puxdpoRI4VGZKvG9VwCSATU_oJu6rH
KOREAN WAR II,133,PRK; CHN; RUS; USA; ROK,9/30/50,7/10/51,KOREAN WAR II,https://drive.google.com/file/d/1_0_eMigX9NP4YkMZKq928k18Aaf0IpQl/view?usp=sharing
HULA DRAINAGE,134,SYR; ISR,2/12/51,5/15/51,HULA DRAINAGE,https://drive.google.com/open?id=1ios6TCQpRlneJr8cWMCf-oFbUewBDqiB
PUNJAB WAR SCARE I,135,IND; PAK,7/7/51,Aug-51,PUNJAB WAR SCARE I,https://drive.google.com/open?id=1xac1hqmQ68J3WUPsrHf9bnL2vnNY7tsq
SUEZ CANAL,136,EGY; UKG,7/30/51,1/30/52,SUEZ CANAL,https://drive.google.com/open?id=1DCsjAcK86U-AKD-7JEXtw0mfpHDgcVcY
CATALINA AFFAIR,137,SWD,6/16/52,Jul-52,CATALINA AFFAIR,https://drive.google.com/open?id=1Bdpo2DMQVTWBG-PjllxQKCvMmz9Jg2wO
BURMA INFILTRATION,138,MYA,2/8/53,10/15/54,BURMA INFILTRATION,https://drive.google.com/open?id=177EsGttn6CrYfrVCn--ePak-dBdN8NHg
INVASION OF LAOS I,139,FRN; LAO,3/24/53,1953,INVASION OF LAOS I,https://drive.google.com/open?id=1lq1yFOGm0h_pBTFMjUtAu-Shtdi1Nm0D
KOREAN WAR III,140,USA; CHN; PRK; ROK,4/16/53,7/27/53,KOREAN WAR III,https://drive.google.com/open?id=1HPfwwWx8QOc-Ocd7pWcWyUP117Qhca2D
E. GERMAN UPRISING,141,RUS,6/17/53,7/11/53,E. GERMAN UPRISING,https://drive.google.com/open?id=1GMPAEe23UzNVfEc5JGjUbaYJ8PiFm5tF
TRIESTE II,142,YUG; ITA,10/8/53,12/5/53,TRIESTE II,https://drive.google.com/open?id=1qS52z7OkxC4kmxe0HYlA0gAERdM1EgV3
QIBYA,143,JOR,10/14/53,Oct-53,QIBYA,https://drive.google.com/open?id=1Pr6HUmz3cvL3q7W1uiyj3xADpFWkujSb
GUATEMALA,144,GUA; USA; HON,12/12/53,6/29/54,GUATEMALA,https://drive.google.com/open?id=1qJhGZU3ZIWBDw3iFtYlRoSvxK5sZSHrH
DIEN BIEN PHU,145,FRN; USA; UKG,3/13/54,7/21/54,DIEN BIEN PHU,https://drive.google.com/open?id=1WwmY5td720RPtgLUilkuw6TaMNV58TDr
TAIWAN STRAIT I,146,CHN; TAW; USA; TAW,Aug-54,4/23/55,TAIWAN STRAIT I,https://drive.google.com/open?id=1H7L1o-_O5Pd2nvFmLORe_FD_QlBw1MYf
COSTA RICA/NIC. II,147,COS; NIC,1/8/55,1/20/55,COSTA RICA/NIC. II,https://drive.google.com/open?id=1PniDxZHBxmkLkoYOApkFx8_TCc3wA2mM
BAGHDAD PACT,148,EGY,2/24/55,Oct-55,BAGHDAD PACT,https://drive.google.com/open?id=1NkvG4xMm_dE_onaHWz2f9Q9YBNvQ0KUp
